block_group,median_household_income,per_capita_income,population_poverty,population_unemployed,population_industry_administration,population_industry_agriculture,population_industry_art,population_industry_construction,population_industry_education,population_industry_finance,population_industry_informatin,population_industry_management,population_industry_manufacture,population_industry_other,population_industry_retail,population_industry_total,population_industry_transportation,population_industry_wholesale
530330079005,54073,49166,163,21,19,0,28,35,213,66,61,267,136,17,101,958,15,0
530330080011,92294,75663,162,54,0,0,59,0,246,0,46,255,142,0,191,1000,16,45
530330080012,,49477,324,28,0,0,42,25,142,19,0,125,47,0,197,597,0,0
530330080013,76369,63463,87,27,0,0,44,0,138,93,20,346,37,0,47,765,40,0
530330080014,86589,66886,178,103,85,0,81,71,152,86,49,355,127,22,48,1122,18,28
530330080015,108242,74857,49,0,0,0,26,37,174,137,0,310,63,22,26,795,0,0
530330080021,20811,36096,596,65,29,0,261,40,142,86,14,110,78,88,143,1025,6,28
530330080022,46343,59862,223,30,11,9,119,0,168,62,83,414,31,31,85,1020,7,0
530330081001,110788,85024,42,44,0,0,150,0,199,78,42,321,104,121,244,1416,75,82
530330081002,,30616,677,157,14,0,38,5,19,20,14,98,54,24,51,361,24,0
530330081003,23359,47866,352,15,36,0,62,0,57,37,66,193,0,14,41,520,14,0
530330082001,90841,76818,160,112,30,0,62,8,172,112,32,247,33,0,98,861,67,0
