block_group,occupied_housing_units,perc_owner,perc_family,avg_occupancy
5.30E+11,874,0.009153318,0.118993135,1.787185355
5.30E+11,426,0.35915493,0.572769953,2.453051643
5.30E+11,760,0.389473684,0.335526316,1.825
5.30E+11,479,0.194154489,0.077244259,3.749478079
5.30E+11,717,0.073919107,0.150627615,1.760111576
5.30E+11,344,0.50872093,0.404069767,2.447674419
5.30E+11,671,0.670640835,0.538002981,2.903129657
5.30E+11,464,0.607758621,0.538793103,2.215517241
5.30E+11,594,0.695286195,0.569023569,2.213804714
5.30E+11,362,0.756906077,0.790055249,2.79558011
5.30E+11,664,0.338855422,0.412650602,2.15813253
5.30E+11,878,0.206150342,0.182232346,1.693621868
5.30E+11,1494,0.249665328,0.403614458,1.707496653
5.30E+11,1886,0.124602333,0.283669141,1.449628844
5.30E+11,439,0.781321185,0.589977221,2.343963554
5.30E+11,606,0.559405941,0.429042904,2.082508251
5.30E+11,577,0.455805893,0.381282496,1.897746967
5.30E+11,493,0.551724138,0.45841785,2.53346856
5.30E+11,539,0.317254174,0.350649351,1.597402597
5.30E+11,744,0.053763441,0.217741935,1.811827957
5.30E+11,675,0.367407407,0.282962963,1.696296296
5.30E+11,756,0.371693122,0.35978836,1.974867725
5.30E+11,913,0.122672508,0.322015334,1.916757941
5.30E+11,679,0.347569956,0.390279823,2.085419735
5.30E+11,440,0.447727273,0.497727273,1.745454545
5.30E+11,771,0.145265888,0.276264591,1.818417639
5.30E+11,665,0.47518797,0.521804511,2.009022556
5.30E+11,511,0.843444227,0.598825832,2.324853229
5.30E+11,464,0.650862069,0.588362069,2.394396552
5.30E+11,399,0,0.090225564,2.122807018
5.30E+11,764,0.019633508,0.07460733,1.842931937
5.30E+11,548,0.390510949,0.427007299,1.795620438
5.30E+11,541,0.495378928,0.49168207,3.192236599
5.30E+11,613,0.323001631,0.254486134,1.722675367
5.30E+11,350,0.08,0.188571429,2.64
5.30E+11,1076,0.031598513,0.114312268,1.496282528
5.30E+11,605,0.039669421,0.112396694,1.590082645
5.30E+11,647,0,0.049459042,1.42503864
5.30E+11,112,0,0.125,1.151785714
5.30E+11,14,0.285714286,0,1
5.30E+11,0,0,0,0
5.30E+11,410,0.7,0.685365854,2.273170732
5.30E+11,708,0.566384181,0.313559322,1.644067797
5.30E+11,735,0.447619048,0.289795918,1.817687075
5.30E+11,913,0.265060241,0.21577218,1.544359255
5.30E+11,563,0.969804618,0.765541741,2.275310835
5.30E+11,631,0.873217116,0.735340729,2.503961965
5.30E+11,445,0.892134831,0.885393258,2.534831461
5.30E+11,426,0.906103286,0.802816901,2.699530516
5.30E+11,500,0.968,0.642,2.376
5.30E+11,194,0.680412371,0.680412371,3.06185567
5.30E+11,502,0.846613546,0.653386454,2.440239044
5.30E+11,442,0.624434389,0.481900452,2.092760181
5.30E+11,430,0.769767442,0.758139535,2.6
5.30E+11,481,0.424116424,0.436590437,2.130977131
5.30E+11,692,0.533236994,0.653179191,2.302023121
5.30E+11,569,0.451669596,0.414762742,2.376098418
5.30E+11,808,0.278465347,0.267326733,1.681930693
5.30E+11,592,0.493243243,0.342905405,1.778716216
5.30E+11,644,0.422360248,0.422360248,1.939440994
5.30E+11,779,0.492939666,0.388960205,1.874197689
5.30E+11,1133,0.324801412,0.186231244,1.635481024
5.30E+11,789,0.321926489,0.416983523,1.942965779
5.30E+11,792,0.428030303,0.273989899,1.976010101
5.30E+11,577,0.641247834,0.570190641,2.216637782
5.30E+11,242,0.475206612,0.351239669,2.338842975
5.30E+11,590,0.679661017,0.703389831,2.474576271
5.30E+11,457,0.647702407,0.805251641,2.551422319
5.30E+11,841,0.409036861,0.249702735,1.656361474
5.30E+11,597,0.614740369,0.673366834,2.328308208
5.30E+11,443,0.916478555,0.729119639,2.69751693
5.30E+11,611,0.314238953,0.145662848,1.950900164
5.30E+11,653,0.589586524,0.664624809,1.986217458
5.30E+11,525,0.499047619,0.32952381,2.146666667
5.30E+11,905,0.226519337,0.295027624,1.504972376
5.30E+11,842,0.298099762,0.168646081,1.532066508
5.30E+11,597,0.654941374,0.542713568,2.479061977
5.30E+11,610,0.940983607,0.839344262,2.463934426
5.30E+11,387,0.819121447,0.705426357,2.390180879
5.30E+11,817,0.304773562,0.320685435,1.517747858
5.30E+11,602,0.719269103,0.533222591,1.73255814
5.30E+11,535,0.689719626,0.626168224,2.327102804
5.30E+11,524,0.891221374,0.824427481,2.660305344
5.30E+11,454,0.790748899,0.552863436,2.411894273
5.30E+11,393,0.821882952,0.651399491,2.498727735
5.30E+11,441,0.718820862,0.746031746,2.691609977
5.30E+11,540,0.807407407,0.648148148,2.216666667
5.30E+11,1002,0.311377246,0.29740519,1.669660679
5.30E+11,892,0.335201794,0.295964126,1.676008969
5.30E+11,1001,0.124875125,0.180819181,1.384615385
5.30E+11,1166,0.247855918,0.337907376,1.764150943
5.30E+11,1394,0.246054519,0.340028694,1.68866571
5.30E+11,1178,0.244482173,0.231748727,1.560271647
5.30E+11,720,0.288888889,0.270833333,1.698611111
5.30E+11,962,0.483367983,0.4002079,1.934511435
5.30E+11,561,0.595365419,0.550802139,2.260249554
5.30E+11,833,0.384153661,0.471788715,2.210084034
5.30E+11,506,0.681818182,0.571146245,2.318181818
5.30E+11,560,0.626785714,0.696428571,2.514285714
5.30E+11,514,0.447470817,0.515564202,1.947470817
5.30E+11,606,0.394389439,0.245874587,1.698019802
5.30E+11,700,0.461428571,0.265714286,1.515714286
5.30E+11,976,0.276639344,0.143442623,1.24692623
5.30E+11,1183,0.160608622,0.195266272,1.466610313
5.30E+11,650,0.330769231,0.221538462,1.34
5.30E+11,768,0.147135417,0.30859375,1.44921875
5.30E+11,839,0.331346841,0.318235995,1.623361144
5.30E+11,1029,0.19436346,0.168124393,1.472303207
5.30E+11,1461,0.181382615,0.255304586,1.414099932
5.30E+11,2514,0.204852824,0.23150358,1.447096261
5.30E+11,1030,0,0.29223301,1.409708738
5.30E+11,1292,0.054179567,0.052631579,1.082043344
5.30E+11,1530,0,0.191503268,1.503921569
5.30E+11,1137,0.113456464,0.144239226,1.222515391
5.30E+11,1094,0.283363803,0.260511883,1.372943327
5.30E+11,885,0.206779661,0.249717514,1.465536723
5.30E+11,974,0.09137577,0.190965092,1.329568789
5.30E+11,929,0.354144241,0.235737352,1.56189451
5.30E+11,723,0.300138313,0.027662517,1.193637621
