block_group,median_earning_female,median_earning_male,population_born_total,population_foreign_born,population_foreign_born_perc,,median_earning_lessthanhighschool,median_earning_highschool,median_earning_somecollege,median_earning_bachelor,median_earning_advance
530330105001,45662,61016,912,202,0.221491228,,32407,33315,44722,60057,75938
530330105002,51806,41595,1280,156,0.121875,,32407,33315,44722,60057,75938
530330105003,37924,80469,1193,26,0.021793797,,32407,33315,44722,60057,75938
530330105004,36731,44191,1815,199,0.109641873,,32407,33315,44722,60057,75938
530330105005,52102,67569,1431,206,0.143955276,,32407,33315,44722,60057,75938
530330106001,44423,96016,1668,207,0.124100719,,38716,32431,37434,60964,74731
530330106002,47404,50179,1143,163,0.142607174,,38716,32431,37434,60964,74731
530330106003,58750,51857,1446,80,0.055325035,,38716,32431,37434,60964,74731
530330106004,36442,65096,951,2,0.002103049,,38716,32431,37434,60964,74731
530330106005,51481,61685,1753,56,0.031945237,,38716,32431,37434,60964,74731
530330106006,47527,60905,1118,64,0.057245081,,38716,32431,37434,60964,74731
530330107011,25391,42361,2514,801,0.318615752,,,,,,
530330107012,41111,52361,1186,229,0.193086003,,,,,,
530330107021,41333,42667,1316,243,0.184650456,,,,,,
530330107022,28529,36250,1816,628,0.345814978,,,,,,
530330107023,,,1261,378,0.299762094,,,,,,
530330108001,31439,32500,1243,196,0.157683025,,,,,,
530330108002,40526,37188,1402,365,0.260342368,,,,,,
530330108003,29344,38667,2025,381,0.188148148,,,,,,
530330109001,31417,31069,663,19,0.028657617,,,,,,
530330109002,27292,51125,392,32,0.081632653,,,,,,
530330110011,25982,22198,1133,506,0.446601942,,,,,,
530330110012,23750,25400,870,268,0.308045977,,,,,,
530330110013,20907,28854,2929,1520,0.518948447,,,,,,
530330110021,21406,18835,1196,663,0.554347826,,,,,,
530330110022,21111,24792,2487,1369,0.550462405,,,,,,
530330110023,22978,31875,1039,563,0.54186718,,,,,,
530330111011,20185,34531,1013,400,0.394866732,,,,,,
530330111012,26639,32011,1393,625,0.448671931,,,,,,
530330111013,20471,27235,1245,589,0.473092369,,,,,,
530330111014,31818,31780,1445,643,0.444982699,,,,,,
530330111021,58125,91250,1100,129,0.117272727,,19107,21188,32283,59464,75214
530330111022,29178,33274,1309,457,0.349121467,,19107,21188,32283,59464,75214
530330111023,,,1177,533,0.452846219,,19107,21188,32283,59464,75214
530330111024,,,1095,512,0.467579909,,19107,21188,32283,59464,75214
530330112001,27019,30921,1238,248,0.200323102,,19200,24148,33571,53750,46550
530330112002,33060,36500,728,166,0.228021978,,19200,24148,33571,53750,46550
530330112003,20813,32133,2208,369,0.167119565,,19200,24148,33571,53750,46550
530330113001,22639,43068,2493,573,0.229843562,,23556,30625,33632,55833,68750
530330113002,40089,37364,997,228,0.228686058,,23556,30625,33632,55833,68750
530330113003,,,777,40,0.051480051,,23556,30625,33632,55833,68750
530330113004,28043,38873,1597,336,0.21039449,,23556,30625,33632,55833,68750
530330113005,33222,35192,1105,268,0.242533937,,23556,30625,33632,55833,68750
530330114011,25107,41490,1476,365,0.247289973,,,,,,
530330114012,41224,31750,1024,346,0.337890625,,,,,,
530330114013,30861,41703,1541,316,0.205061648,,,,,,
530330114021,27788,33542,1341,475,0.354213274,,,,,,
530330114022,29044,41786,1377,355,0.257806826,,,,,,
530330114023,26594,40513,1687,408,0.241849437,,,,,,
530330115001,45774,47083,1389,153,0.110151188,,,,,,
530330115002,45441,55739,1358,145,0.106774669,,,,,,
530330115003,40357,41771,1505,228,0.151495017,,,,,,
530330116001,52973,102891,1196,0,0,,,,,,
530330116002,49688,44559,1098,74,0.067395264,,,,,,
530330116003,42273,70833,1325,116,0.08754717,,,,,,
530330116004,34358,73333,1052,15,0.014258555,,,,,,
530330116005,51911,106303,924,74,0.08008658,,,,,,
530330116006,42054,94345,975,27,0.027692308,,,,,,
530330117001,12000,19006,1329,649,0.488337096,,19604,25606,31757,39063,68750
530330117002,21287,40036,1311,704,0.536994661,,19604,25606,31757,39063,68750
530330117003,31780,32879,1826,852,0.466593647,,19604,25606,31757,39063,68750
530330117004,32316,48750,990,334,0.337373737,,19604,25606,31757,39063,68750
530330118001,,,660,44,0.066666667,,22654,19831,28466,36176,66884
530330118002,31838,53269,625,190,0.304,,22654,19831,28466,36176,66884
530330118003,48382,27238,950,300,0.315789474,,22654,19831,28466,36176,66884
530330118004,,,1510,428,0.283443709,,22654,19831,28466,36176,66884
530330118005,,,1603,708,0.441671865,,22654,19831,28466,36176,66884
530330118006,18486,25613,2662,1364,0.512396694,,22654,19831,28466,36176,66884
530330119001,53219,62308,1693,562,0.331955109,,,,,,
530330119002,33500,60893,1324,146,0.110271903,,,,,,
530330119003,31078,36104,1532,518,0.338120104,,,,,,
530330119004,,,1744,642,0.368119266,,,,,,
530330119005,23882,46250,1135,295,0.259911894,,,,,,
530330120001,41012,44712,1050,63,0.06,,,,,,
530330120002,57250,65577,1159,14,0.012079379,,,,,,
530330120003,46739,66838,1265,68,0.053754941,,,,,,
530330121001,65313,117159,1051,133,0.126546147,,,,,,
530330121002,51755,61439,1802,135,0.074916759,,,,,,
530330260011,28750,54031,1399,149,0.106504646,,,,,,
530330264004,30610,48889,838,156,0.186157518,,20593,25413,31927,37986,48897
530330264005,19429,26270,1322,616,0.465960666,,20593,25413,31927,37986,48897
530339901000,,,0,0,0,,,,,,
