block_group,pop_perc_poc,pop_perc_no_HI,median_household_income,per_capita_income,pop_perc_unemployed,education_level,red_lun_avg,median_house_value
5.30E+11,0.074952562,0.018975332,104271,50070,0.010436433,2.948,0.109546667,612800
5.30E+11,0.135840368,0.122026094,103434,57941,0.07904835,2.927,0.1949,558500
5.30E+11,0.124107143,0.211607143,70114,44136,0.063392857,2.821,0.1949,483800
5.30E+11,0.111969112,0.091891892,115134,42957,0.027799228,3.055,0.1949,470400
5.30E+11,0.146216769,0.09202454,73177,48460,0,2.501,0.190916667,597100
5.30E+11,0.268172195,0.105857445,74561,48354,0.091743119,2.832,0.1949,557700
5.30E+11,0.151898734,0.038818565,74228,66181,0,3.102,0.1949,462500
5.30E+11,0.084251458,0.078418665,71393,44902,0.0382372,3.08,0.1949,460300
5.30E+11,0.286666667,0.016666667,54714,45811,0.015,3.055,0.1949,484000
5.30E+11,0.125845737,0.062246279,64947,51067,0.029093369,3.07,0.126383333,620200
5.30E+11,0.080729167,0.076822917,86932,59133,0,3.142,0.190916667,549800
5.30E+11,0.177363699,0.069703244,58875,36877,0.031746032,2.902,0.190916667,405600
5.30E+11,0.29317852,0.113933237,75179,53810,0.01161103,2.919,0.126383333,551000
5.30E+11,0.086419753,0.041975309,136641,62502,0.037037037,3.12,0.190916667,719400
5.30E+11,0.248896734,0.01059135,104167,53476,0.020300088,3.206,0.190916667,666700
5.30E+11,0.571581197,0.196581197,79574.57296,10003,0,1.209,0.126383333,471679.3478
5.30E+11,0.720588235,0.129795396,79574.57296,19546,0.084398977,2.895,0.126383333,471679.3478
5.30E+11,0.242282507,0,47024,49852,0.075771749,3.03,0.126383333,476100
5.30E+11,0.22579001,0.107543323,117760,34613,0.01783894,2.881,0.126383333,576800
5.30E+11,0.453728661,0,22083,23153,0.049415993,3.065,0.126383333,262200
5.30E+11,0.382087816,0.04623437,17167,6756,0.106717069,2.392,0.17002,471679.3478
5.30E+11,0.713227513,0.066137566,13608,15768,0.062962963,2.645,0.126383333,133000
5.30E+11,0.569444444,0.131481481,11733,13275,0.165740741,2.047,0.126383333,471679.3478
5.30E+11,0.694214876,0.251033058,79574.57296,10692,0.060950413,2.437,0.126383333,471679.3478
5.30E+11,0.717273954,0.102564103,7115,3619,0.124831309,3.286,0.126383333,471679.3478
5.30E+11,0.496618357,0.058937198,79574.57296,4513,0.068599034,2.352,0.17002,471679.3478
5.30E+11,0.515219842,0.055618189,79574.57296,2517,0.099210823,2.25,0.17002,471679.3478
5.30E+11,0.101956746,0,108056,50245,0.004119464,3.344,0.190916667,621700
5.30E+11,0.268146883,0.021349274,97286,70642,0.009393681,3.156,0.190916667,381000
5.30E+11,0.208852006,0.058091286,62869,54817,0,2.861,0.190916667,326300
5.30E+11,0.239888424,0.060669456,61583,51023,0.036262204,3.079,0.190916667,420000
5.30E+11,0.179801071,0.029839327,141141,73092,0.035960214,3.029,0.152343333,647100
5.30E+11,0.054533925,0,155744,66755,0,3.089,0.152343333,873900
5.30E+11,0.072807018,0.01754386,214338,88469,0.012280702,3.094,0.137733333,875000
5.30E+11,0.178451178,0,183300,69528,0.022727273,2.858,0.137733333,801500
5.30E+11,0.219471947,0,124440,60850,0.062706271,3.317,0.137733333,583300
5.30E+11,0.163879599,0.036789298,79574.57296,59958,0,3.045,0.152343333,913500
5.30E+11,0.209613869,0.064617809,140313,60640,0.011032309,2.898,0.137733333,627500
5.30E+11,0.212153518,0.074626866,91724,52721,0.028784648,2.978,0.137733333,634800
5.30E+11,0.259130435,0.050434783,105000,45946,0.023478261,2.431,0.152343333,555600
5.30E+11,0.108837209,0.039069767,83438,49952,0.050232558,2.923,0.152343333,779100
5.30E+11,0.256394261,0.061135371,61964,57905,0.009357455,2.848,0.152343333,517300
5.30E+11,0.292613636,0.116477273,65050,33540,0.014204545,2.651,0.152343333,550500
5.30E+11,0.212230216,0.103597122,52319,40131,0.039568345,2.634,0.152343333,471679.3478
5.30E+11,0.31283906,0.036166365,73922,49994,0.029837251,2.303,0.152343333,450000
5.30E+11,0.321100917,0.093272171,71438,45469,0.02293578,2.536,0.152343333,438200
5.30E+11,0.185922975,0.110225764,74272,54312,0.026560425,2.775,0.137733333,602400
5.30E+11,0.347915594,0.10241894,61103,48249,0.089552239,2.931,0.164056667,407500
5.30E+11,0.262591964,0.078664403,53897,41764,0.019241653,2.647,0.137733333,496400
5.30E+11,0.228932584,0.139981273,67315,35909,0.030898876,2.833,0.164056667,503600
5.30E+11,0.230134933,0.02173913,90938,67969,0.049475262,3.184,0.164056667,665600
5.30E+11,0.380319149,0.03125,52849,13807,0.085771277,3.356,0.164056667,471679.3478
5.30E+11,0.097100472,0.047875927,116154,91472,0.01146325,3.057,0.164056667,840700
5.30E+11,0.084134615,0.024038462,168173,65801,0.008012821,3.285,0.164056667,667800
5.30E+11,0.16066482,0.040166205,81359,61916,0.046398892,2.94,0.16311,355600
5.30E+11,0.320963542,0,147755,61486,0,3.092,0.16311,670300
5.30E+11,0.114848236,0,220197,119401,0.009844135,3.201,0.164056667,714600
5.30E+11,0.113553114,0.053479853,70547,41790,0.027838828,3.001,0.164056667,408800
5.30E+11,0.313533835,0,113649,86321,0.016541353,3.106,0.304133333,624000
5.30E+11,0.085034014,0.081632653,82946,78130,0.00085034,3.123,0.304133333,780400
5.30E+11,0.192944564,0.09287257,74050,60453,0,2.961,0.304133333,730100
5.30E+11,0.232628399,0.058912387,61875,58880,0.011329305,2.979,0.304133333,524100
5.30E+11,0.254061079,0.058479532,99485,55900,0.026640676,3.159,0.304133333,752100
5.30E+11,0.147770701,0,143750,69778,0.020382166,3.27,0.304133333,743200
5.30E+11,0.102725367,0,140417,87457,0,3.369,0.399836667,905000
5.30E+11,0.123015873,0.023809524,105430,73015,0.01984127,3.033,0.310583333,780400
5.30E+11,0.037998146,0,125000,141007,0.019462465,3.172,0.310583333,1062500
5.30E+11,0.2328,0,154145,118739,0.0592,3.347,0.310583333,1117000
5.30E+11,0.207290922,0.030021444,201200,110987,0.02501787,3.121,0.310583333,1301500
5.30E+11,0.174714662,0,148913,74253,0.010535558,3.171,0.310583333,646600
5.30E+11,0.147208122,0.007106599,186406,96928,0.030456853,3.194,0.399836667,1115600
5.30E+11,0.091207888,0.023829088,147083,79286,0.006573541,3.18,0.399836667,924300
5.30E+11,0.16446281,0.061157025,203462,136223,0.05785124,3.351,0.485726667,986400
5.30E+11,0.083621684,0.137831603,93138,65757,0.036908881,2.813,0.485726667,507000
5.30E+11,0.104983389,0.041860465,87969,84809,0.033887043,3.189,0.485726667,995000
5.30E+11,0.376641327,0.123013131,69926,66013,0.035245335,2.85,0.485726667,448100
5.30E+11,0.212815716,0.091206735,87426,60465,0.037418148,3.094,0.304133333,501300
5.30E+11,0.400833333,0.042083333,102019,65712,0.006666667,3.258,0.16311,350500
5.30E+11,0.357723577,0.096544715,80682,58714,0.039126016,2.876,0.16311,432100
5.30E+11,0.212783172,0.164239482,83163,57956,0.009708738,2.648,0.16311,428600
5.30E+11,0.259018036,0.123747495,81850,54998,0.028056112,2.873,0.16311,615000
5.30E+11,0.098602484,0.00621118,108510,72953,0.00621118,2.946,0.16311,790300
5.30E+11,0.204379562,0.024504692,91925,60072,0.034932221,3.039,0.164056667,734600
5.30E+11,0.093829248,0,92727,66819,0.016906171,3.236,0.164056667,734200
5.30E+11,0.120027913,0.117236567,130000,55541,0.023028611,2.76,0.16311,892500
5.30E+11,0.228019324,0.046376812,84375,62929,0.019323671,3.051,0.16311,898100
5.30E+11,0.083643123,0.030669145,95833,67962,0,2.725,0.164056667,590500
5.30E+11,0.19330855,0.074349442,95465,67798,0,2.869,0.16311,471679.3478
5.30E+11,0.221595488,0.119258662,40978,49678,0,2.434,0.16311,345400
5.30E+11,0.335628227,0.083189902,75086,66588,0,2.828,0.16311,460000
5.30E+11,0.344983089,0.119503946,69412,79536,0.054114994,2.74,0.16311,606200
5.30E+11,0.147033534,0.103181427,49074,43761,0.052450559,2.704,0.16311,292100
5.30E+11,0.268485284,0,76250,115053,0.017229002,2.7,0.16311,471679.3478
5.30E+11,0.296296296,0.100529101,56518,58145,0.022486772,2.643,0.16311,361100
5.30E+11,0.322751323,0.087301587,86301,63454,0.036155203,2.942,0.16311,236600
5.30E+11,0.383774161,0.099186165,83750,63985,0.022380468,2.793,0.39508,373100
5.30E+11,0.612133606,0.070211316,70466,59759,0.010906612,2.91,0.39508,471679.3478
5.30E+11,0.399571122,0.08649035,62255,66537,0.037169407,2.849,0.39508,471679.3478
5.30E+11,0.341686555,0.134447096,84196,54519,0.036197295,2.77,0.39508,471679.3478
5.30E+11,0.464240102,0.133461047,35016,57892,0.119412516,2.35,0.39508,656300
5.30E+11,0.291941876,0.017173052,105909,97067,0.042272127,2.968,0.39508,444800
5.30E+11,0.205263158,0.109022556,75203,59843,0.033082707,2.985,0.485726667,385600
5.30E+11,0.305936073,0.02587519,61742,66028,0.100456621,2.605,0.485726667,260300
5.30E+11,0.333111702,0.027925532,62475,55591,0,2.9,0.485726667,225700
5.30E+11,0.22043628,0.130884041,67917,54568,0.133180253,2.974,0.485726667,250600
5.30E+11,0.238386932,0.052577846,69632,46041,0.013272078,2.956,0.485726667,331600
5.30E+11,0.406976744,0.273982558,34154,38994,0.034156977,2.403,0.485726667,237500
5.30E+11,0.410666667,0.1088,42754,45342,0,2.52,0.485726667,266300
5.30E+11,0.258599509,0.060810811,41806,44028,0.069410319,2.91,0.399836667,599000
5.30E+11,0.25165077,0.030080704,71161,53719,0,2.984,0.399836667,541700
5.30E+11,0.41528436,0.120853081,52315,44864,0.026658768,2.874,0.485726667,408800
5.30E+11,0.436314363,0.105691057,71920,48929,0,2.583,0.485726667,240700
5.30E+11,0.404289118,0.078633836,76010,51405,0.056393963,2.958,0.485726667,781300
