"","block_group","portion","CRA_NO"
"374","530330100013",0.0378569697811987,"3.6"
"375","530330100021",0.0698052121374657,"3.6"
"376","530330100022",0.104785269368084,"3.6"
"377","530330100023",0.137334482071594,"3.6"
"378","530330100024",0.0667352145641481,"3.6"
"379","530330101001",0.106919246688309,"4.2"
"380","530330101002",0.066741170276198,"4.2"
"381","530330101003",0.0425331343470938,"4.2"
"382","530330101004",0.12941102630175,"4.2"
"383","530330101005",0.14027815068326,"4.2"
"384","530330102001",0.29166550161197,"4.3"
"385","530330102002",0.162408042232767,"4.3"
"386","530330102003",0.0682619527621583,"4.3"
"387","530330102004",0.202192097014571,"4.3"
"388","530330103001",0.0499358408853958,"4.2"
"389","530330103002",0.0737425336573834,"4.2"
"390","530330103003",0.0478754267104157,"4.2"
"391","530330103004",0.0497733509538438,"4.2"
"392","530330103005",0.0841014411392427,"4.2"
"393","530330104011",0.147785759279046,"3.5"
"394","530330104012",0.155720544882452,"3.5"
"395","530330104013",0.127946530776921,"3.5"
"396","530330104021",0.212016233399847,"3.5"
"397","530330104022",0.0781854159818146,"3.5"
"398","530330104023",0.131129276543356,"3.5"
"399","530330104024",0.147216239136564,"3.5"
"400","530330105001",0.0695781085962191,"1.3"
"401","530330105002",0.0285864492392898,"1.3"
"402","530330105003",0.0491284963573276,"1.3"
"403","530330105004",0.0456594602765921,"1.3"
"404","530330105005",0.0298981900416182,"1.3"
"405","530330106001",0.103996930773566,"1.2"
"406","530330106002",0.0303129126894339,"1.2"
"407","530330106003",0.0609882392921207,"1.2"
"408","530330106004",0.0721045064073059,"1.2"
"409","530330106005",0.157694681871561,"1.2"
"410","530330106006",0.0214418374062778,"1.2"
"411","530330107011",0.279132670337265,"2.2"
"412","530330107012",0.358467811138891,"2.2"
"413","530330107021",0.132249973328633,"2.2"
"414","530330107022",0.128490470204604,"2.2"
"415","530330107023",0.101659074990607,"2.2"
"416","530330108001",0.70713462019244,"2.3"
"417","530330108002",0.0841986494393171,"2.3"
"418","530330108003",0.208666730368243,"2.3"
"419","530330109001",0.374291675719316,"3.2"
"420","530330109002",0.625708324280684,"3.2"
"421","530330110011",0.0293375485150364,"3.4"
"422","530330110012",0.0467672732402177,"3.4"
"423","530330110013",0.121191716325949,"3.4"
"424","530330110021",0.123006864026274,"3.4"
"425","530330110022",0.165202878201944,"3.4"
"426","530330110023",0.0465311249923482,"3.4"
"427","530330111011",0.0427409540878771,"4.2"
"428","530330111012",0.067190981460108,"4.2"
"429","530330111013",0.0246641235481385,"4.2"
"430","530330111014",0.0740926192609846,"4.2"
"431","530330111021",0.154462485704779,"4.3"
"432","530330111022",0.0514722330183957,"4.3"
"433","530330111023",0.0236395423292333,"4.3"
"434","530330111024",0.0458981453261268,"4.3"
"435","530330112001",0.223468201631259,"3.1"
"436","530330112002",0.540703275900348,"3.1"
"437","530330112003",0.216587113701518,"3.1"
"438","530330113001",0.259549379071203,"2.5"
"439","530330113002",0.128024118383214,"2.5"
"440","530330113003",0.192963859371232,"2.5"
"441","530330113004",0.169415117115628,"2.5"
"442","530330113005",0.229261005053548,"2.5"
"443","530330114011",0.0969833938090855,"2.4"
"444","530330114012",0.08063698715803,"2.4"
"445","530330114013",0.129830438955879,"2.4"
"446","530330114021",0.120286620604362,"2.4"
"447","530330114022",0.0690503198262385,"2.4"
"448","530330114023",0.0903569671946457,"2.4"
"449","530330115001",0.20725024622873,"2.4"
"450","530330115002",0.120659186904174,"2.4"
"451","530330115003",0.0849458393188543,"2.4"
"452","530330116001",0.0922674098481948,"1.2"
"453","530330116002",0.0931425265304191,"1.2"
"454","530330116003",0.0903297859069381,"1.2"
"455","530330116004",0.0710812516937742,"1.2"
"456","530330116005",0.101263770653291,"1.2"
"457","530330116006",0.105376146927117,"1.2"
"458","530330117001",0.0994401883185495,"3.4"
"459","530330117002",0.128274712031003,"3.4"
"460","530330117003",0.13832819138267,"3.4"
"461","530330117004",0.101919502966007,"3.4"
"462","530330118001",0.0570127147291452,"4.1"
"463","530330118002",0.0725762594000883,"4.1"
"464","530330118003",0.0280605914719041,"4.1"
"465","530330118004",0.0484068326996028,"4.1"
"466","530330118005",0.041271235172712,"4.1"
"467","530330118006",0.0723678638452658,"4.1"
"468","530330119001",0.0739858082998637,"4.1"
"469","530330119002",0.16393802219617,"4.1"
"470","530330119003",0.133266728479537,"4.1"
"471","530330119004",0.218520941338694,"4.1"
"472","530330119005",0.0693219826478197,"4.1"
"473","530330120001",0.195097000265219,"1.1"
"474","530330120002",0.164000886360949,"1.1"
"475","530330120003",0.208038788624728,"1.1"
"476","530330121001",0.208500913342143,"1.1"
"477","530330121002",0.22436241140696,"1.1"
"478","530330260011",0.0212710197191972,"4.1"
"479","530330264004",0.0145446304184081,"3.1"
"480","530330264005",0.00469677834846711,"3.1"
"481","530330265001",0.0207865210051745,"2.5"
"482","530339901000",0.109871572440343,"9.1"
