name,long,lat
Wallingford Steps,-122.336152,47.647345
Walt Hundley Playfield,-122.373415,47.54017
Ward Springs Park,-122.349245,47.627747
Warren G. Magnuson Park,-122.255084,47.680304
Washington Park Arboretum,-122.294835,47.636477
Washington Park Playfield,-122.293925,47.627064
Washington Street Public Boat Landing,-122.336045,47.601007
Waterfront Park,-122.342196,47.606778
Waterway 19,-122.332567,47.646349
Weather Watch Park,-122.409506,47.568247
Webster Park,-122.397851,47.677832
Wedgwood Square,-122.294772,47.688151
West Duwamish Greenbelt,-122.356966,47.563271
West Ewing Mini Park,-122.360602,47.65205
West Montlake Park,-122.30982,47.646219
West Queen Anne Playfield,-122.359504,47.635514
West Seattle Golf Course,-122.369657,47.55986
West Seattle Stadium,-122.374348,47.562826
Westcrest Park,-122.341719,47.525783
Westlake Greenbelt,-122.34338,47.641586
Westlake Park,-122.33724,47.611099
Westlake Square,-122.337285,47.613627
William Grose Park,-122.29294,47.618021
Williams Place,-122.313094,47.619809
Wolf Creek Ravine Natural Area,-122.352314,47.639775
Woodland Park,-122.344218,47.668906
Woodland Park Rose Garden,-122.35054,47.666499
Woodland Park Zoo,-122.35043,47.666183
Yesler Playfield,-122.320083,47.601262
York Park,-122.295537,47.570461
York Playground,-122.290713,47.572695
