,block_group,neighborhood,portion,weight
371,530330099004,2.1,0.592314116,1
372,530330100011,3.6,0.107762796,1
373,530330100012,3.6,0.095245204,1
374,530330100013,3.6,0.03785697,1
375,530330100021,3.6,0.069805212,1
376,530330100022,3.6,0.104785269,1
377,530330100023,3.6,0.137334482,1
378,530330100024,3.6,0.066735215,1
379,530330101001,4.2,0.106919247,1
380,530330101002,4.2,0.06674117,1
381,530330101003,4.2,0.042533134,1
382,530330101004,4.2,0.129411026,1
383,530330101005,4.2,0.140278151,1
384,530330102001,4.3,0.291665502,1
385,530330102002,4.3,0.162408042,1
386,530330102003,4.3,0.068261953,1
387,530330102004,4.3,0.202192097,1
388,530330103001,4.2,0.049935841,1
389,530330103002,4.2,0.073742534,1
390,530330103003,4.2,0.047875427,1
391,530330103004,4.2,0.049773351,1
392,530330103005,4.2,0.084101441,1
393,530330104011,3.5,0.147785759,1
394,530330104012,3.5,0.155720545,1
395,530330104013,3.5,0.127946531,1
396,530330104021,3.5,0.212016233,1
397,530330104022,3.5,0.078185416,1
398,530330104023,3.5,0.131129277,1
399,530330104024,3.5,0.147216239,1
400,530330105001,1.3,0.069578109,1
401,530330105002,1.3,0.028586449,1
402,530330105003,1.3,0.049128496,1
403,530330105004,1.3,0.04565946,1
404,530330105005,1.3,0.02989819,1
405,530330106001,1.2,0.103996931,1
406,530330106002,1.2,0.030312913,1
407,530330106003,1.2,0.060988239,1
408,530330106004,1.2,0.072104506,1
409,530330106005,1.2,0.157694682,1
410,530330106006,1.2,0.021441837,1
411,530330107011,2.2,0.27913267,1
412,530330107012,2.2,0.358467811,1
413,530330107021,2.2,0.132249973,1
414,530330107022,2.2,0.12849047,1
415,530330107023,2.2,0.101659075,1
416,530330108001,2.3,0.70713462,1
417,530330108002,2.3,0.084198649,1
418,530330108003,2.3,0.20866673,1
419,530330109001,3.2,0.374291676,1
420,530330109002,3.2,0.625708324,1
421,530330110011,3.4,0.029337549,1
422,530330110012,3.4,0.046767273,1
423,530330110013,3.4,0.121191716,1
424,530330110021,3.4,0.123006864,1
425,530330110022,3.4,0.165202878,1
426,530330110023,3.4,0.046531125,1
427,530330111011,4.2,0.042740954,1
428,530330111012,4.2,0.067190981,1
429,530330111013,4.2,0.024664124,1
430,530330111014,4.2,0.074092619,1
431,530330111021,4.3,0.154462486,1
432,530330111022,4.3,0.051472233,1
433,530330111023,4.3,0.023639542,1
434,530330111024,4.3,0.045898145,1
435,530330112001,3.1,0.223468202,1
436,530330112002,3.1,0.540703276,1
437,530330112003,3.1,0.216587114,1
438,530330113001,2.5,0.259549379,1
439,530330113002,2.5,0.128024118,1
440,530330113003,2.5,0.192963859,1
441,530330113004,2.5,0.169415117,1
442,530330113005,2.5,0.229261005,1
443,530330114011,2.4,0.096983394,1
444,530330114012,2.4,0.080636987,1
445,530330114013,2.4,0.129830439,1
